UV 1_280,UV 1_280,Cond,UV 2_214,Conc B,,UV 2_214,
ml,mAU,ml,mS/cm,ml,%,ml,mAU
UV 1_280 ml,UV 1_280 mAU,Cond ml,Cond mS/cm,Conc B ml,%,UV 2_214 ml,mAU
0.121411,2.91087,0.276065,2.976226,1.51425,100,0.738661,52.726849
0.122244,2.910595,0.277732,2.976261,1.522581,100,0.742827,52.715431
0.123077,2.910233,0.279399,2.97626,1.530912,100,0.746994,52.702217
0.12391,2.909882,0.281065,2.976297,1.539243,100,0.75116,52.685856
0.124744,2.909669,0.282732,2.97631,1.547574,100,0.755326,52.663219
0.125577,2.909575,0.284398,2.976317,1.555905,100,0.759492,52.642784
0.12641,2.909481,0.286065,2.976327,1.564235,100,0.763659,52.631557
0.127244,2.909388,0.287732,2.976398,1.572566,100,0.767825,52.625706
0.128077,2.90947,0.289398,2.976446,1.580897,100,0.771991,52.626526
0.12891,2.909765,0.291065,2.976456,1.589228,100,0.776157,52.631359
0.129743,2.9101,0.292731,2.97642,1.597559,100,0.780324,52.628399
0.130577,2.910468,0.294398,2.976416,1.60589,100,0.78449,52.629475
0.13141,2.910878,0.296064,2.976366,1.614221,100,0.788656,52.655205
0.132243,2.911305,0.297731,2.976311,1.622552,100,0.792823,52.68438
0.133077,2.911734,0.299398,2.976309,1.630883,100,0.796989,52.703232
0.13391,2.912196,0.301064,2.976348,1.639213,100,0.801155,52.712086
0.134743,2.912833,0.302731,2.976345,1.647544,100,0.805321,52.712509
0.135576,2.913585,0.304397,2.976331,1.655875,100,0.809488,52.715073
0.13641,2.914334,0.306064,2.976352,1.664206,100,0.813654,52.7089
0.137243,2.914934,0.307731,2.976377,1.672537,100,0.81782,52.697746
0.138076,2.915424,0.309397,2.97634,1.680868,100,0.821986,52.692139
0.13891,2.915919,0.311064,2.976367,1.689199,100,0.826153,52.694683
0.139743,2.916408,0.31273,2.976396,1.697529,100,0.830319,52.67873
0.140576,2.916832,0.314397,2.976422,1.70586,100,0.834485,52.656689
0.141409,2.917158,0.316063,2.976414,1.714191,100,0.838651,52.640213
0.142243,2.91745,0.31773,2.976421,1.722522,100,0.842818,52.629189
0.143076,2.91772,0.319397,2.976388,1.730853,100,0.846984,52.624004
0.143909,2.917938,0.321063,2.976359,1.739184,100,0.85115,52.627102
0.144743,2.91813,0.32273,2.976356,1.747515,100,0.855316,52.647606
0.145576,2.918323,0.324396,2.976298,1.755846,100,0.859483,52.675686
0.146409,2.918474,0.326063,2.976249,1.764176,100,0.863649,52.699429
0.147242,2.91824,0.32773,2.976243,1.772507,100,0.867815,52.717197
0.148076,2.91778,0.329396,2.97625,1.780838,100,0.871982,52.74165
0.148909,2.917315,0.331063,2.976233,1.789169,100,0.876148,52.77401
0.149742,2.916916,0.332729,2.976253,1.7975,100,0.880314,52.812332
0.150576,2.916599,0.334396,2.976282,1.805831,100,0.88448,52.851147
0.151409,2.916306,0.336062,2.976292,1.814162,100,0.888647,52.882698
0.152242,2.916017,0.337729,2.976339,1.822493,100,0.892813,52.903988
0.153075,2.915889,0.339396,2.976296,1.830824,100,0.896979,52.921757
0.153909,2.916111,0.341062,2.976217,1.839154,100,0.901145,52.936142
0.154742,2.916466,0.342729,2.976145,1.847485,100,0.905312,52.954151
0.155575,2.916824,0.344395,2.976128,1.855816,100,0.909478,52.973969
0.156409,2.91714,0.346062,2.976098,1.864147,100,0.913644,52.987061
0.157242,2.917435,0.347729,2.976098,1.872478,100,0.91781,52.996067
0.158075,2.917731,0.349395,2.976089,1.880809,100,0.921977,53.001682
0.158908,2.918023,0.351062,2.976099,1.88914,100,0.926143,53.005775
0.159742,2.918227,0.352728,2.976116,1.89747,100,0.930309,53.009121
0.160575,2.918351,0.354395,2.976124,1.905801,100,0.934475,53.013844
0.161408,2.918456,0.356062,2.976131,1.914132,100,0.938642,53.013023
0.162242,2.91862,0.357728,2.976124,1.922463,100,0.942808,53.00832
0.163075,2.918866,0.359395,2.976082,1.930794,100,0.946974,52.998001
0.163908,2.919137,0.361061,2.976059,1.939125,100,0.951141,52.985741
0.164741,2.919412,0.362728,2.976039,1.947456,100,0.955307,52.976025
0.165575,2.919664,0.364394,2.976008,1.955787,100,0.959473,52.966496
0.166408,2.919738,0.366061,2.976029,1.964118,100,0.963639,52.957489
0.167241,2.919742,0.367728,2.97602,1.972448,100,0.967806,52.94915
0.168075,2.919746,0.369394,2.976024,1.980779,100,0.971972,52.93932
0.168908,2.919467,0.371061,2.976017,1.98911,100,0.976138,52.924412
0.169741,2.919036,0.372727,2.976001,1.997441,100,0.980304,52.9067
