UV 1_280,UV 1_280,Cond,Cond,Conc B,Conc B
ml,mAU,ml,mS/cm,ml,%
UV 1_280 ml,UV 1_280 mAU,Cond ml,Cond mS/cm,Conc B ml,Conc B %
0.107357,0.93787,0.236539,3.121716,1.290377,100
0.10819,0.938567,0.238206,3.121672,1.298708,100
0.109023,0.939268,0.239873,3.121705,1.30704,100
0.109857,0.939986,0.241539,3.121707,1.315371,100
0.11069,0.940709,0.243206,3.121647,1.323703,100
0.111523,0.941437,0.244873,3.121626,1.332034,100
0.112356,0.942166,0.246539,3.12168,1.340365,100
0.11319,0.942832,0.248206,3.121688,1.348697,100
0.114023,0.943232,0.249872,3.121693,1.357028,100
0.114856,0.943569,0.251539,3.121667,1.36536,100
0.115689,0.943909,0.253206,3.121676,1.373691,100
0.116522,0.944598,0.254872,3.121662,1.382022,100
0.117356,0.945401,0.256539,3.121676,1.390354,100
0.118189,0.946215,0.258206,3.121678,1.398685,100
0.119022,0.947031,0.259872,3.12169,1.407017,100
0.119855,0.947924,0.261539,3.121731,1.415348,100
0.120689,0.94887,0.263206,3.121793,1.423679,100
0.121522,0.949823,0.264872,3.121737,1.432011,100
0.122355,0.950797,0.266539,3.121798,1.440342,100
0.123188,0.951781,0.268206,3.121806,1.448674,100
0.124022,0.952759,0.269872,3.121804,1.457005,100
0.124855,0.953749,0.271539,3.121787,1.465336,100
0.125688,0.954757,0.273205,3.121773,1.473668,100
0.126521,0.956047,0.274872,3.121751,1.481999,100
0.127354,0.957379,0.276539,3.121685,1.490331,100
0.128188,0.958727,0.278205,3.121717,1.498662,100
0.129021,0.959949,0.279872,3.121747,1.506994,100
0.129854,0.961151,0.281539,3.121783,1.515325,100
0.130687,0.962337,0.283205,3.12178,1.523656,100
0.131521,0.963527,0.284872,3.121796,1.531988,100
0.132354,0.964676,0.286539,3.121766,1.540319,100
0.133187,0.965713,0.288205,3.121723,1.548651,100
0.13402,0.966729,0.289872,3.121737,1.556982,100
0.134854,0.967688,0.291539,3.121736,1.565313,100
0.135687,0.968502,0.293205,3.121788,1.573645,100
0.13652,0.969289,0.294872,3.121795,1.581976,100
0.137353,0.970071,0.296538,3.121805,1.590308,100
0.138186,0.970864,0.298205,3.121763,1.598639,100
0.13902,0.97106,0.299872,3.12177,1.60697,100
0.139853,0.970895,0.301538,3.121792,1.615302,100
0.140686,0.970687,0.303205,3.121823,1.623633,100
0.141519,0.970422,0.304872,3.121769,1.631965,100
0.142353,0.970093,0.306538,3.121753,1.640296,100
0.143186,0.969754,0.308205,3.121752,1.648628,100
0.144019,0.969414,0.309872,3.121784,1.656959,100
0.144852,0.969111,0.311538,3.121813,1.66529,100
0.145686,0.969079,0.313205,3.121823,1.673622,100
0.146519,0.969101,0.314872,3.121772,1.681953,100
0.147352,0.969123,0.316538,3.12178,1.690285,100
0.148185,0.968838,0.318205,3.121742,1.698616,100
0.149018,0.96839,0.319871,3.121699,1.706947,100
0.149852,0.967916,0.321538,3.121713,1.715279,100
0.150685,0.967442,0.323205,3.121701,1.72361,100
0.151518,0.966959,0.324871,3.121657,1.731942,100
0.152351,0.966466,0.326538,3.121619,1.740273,100
0.153185,0.965967,0.328205,3.121667,1.748604,100
0.154018,0.96554,0.329871,3.121696,1.756936,100
0.154851,0.965442,0.331538,3.121736,1.765267,100
0.155684,0.965425,0.333205,3.121793,1.773599,100
0.156518,0.965409,0.334871,3.121803,1.78193,100
0.157351,0.965392,0.336538,3.121788,1.790262,100
0.158184,0.965029,0.338205,3.121773,1.798593,100
0.159017,0.964544,0.339871,3.121756,1.806924,100
0.15985,0.964052,0.341538,3.12175,1.815256,100
0.160684,0.963964,0.343204,3.121721,1.823587,100
0.161517,0.964237,0.344871,3.121678,1.831918,100
0.16235,0.964574,0.346538,3.12167,1.84025,100
0.163183,0.964906,0.348204,3.121681,1.848581,100
0.164017,0.965234,0.349871,3.121643,1.856913,100
0.16485,0.965549,0.351538,3.121667,1.865244,100
0.165683,0.965858,0.353204,3.121668,1.873576,100
0.166516,0.96617,0.354871,3.121716,1.881907,100
0.16735,0.965958,0.356538,3.12176,1.890238,100
0.168183,0.965648,0.358204,3.121736,1.89857,100
0.169016,0.965337,0.359871,3.121769,1.906901,100
0.169849,0.965031,0.361538,3.121776,1.915233,100
0.170682,0.964835,0.363204,3.121796,1.923564,100
0.171516,0.964671,0.364871,3.121811,1.931895,100
0.172349,0.96451,0.366537,3.121788,1.940227,100
0.173182,0.964333,0.368204,3.121772,1.948558,100
0.174015,0.96412,0.369871,3.12179,1.95689,100
